id,node_id,x,y,label,number,weight,guardian,triad,hexagram,type,dormant
50,N20,12.58,43.4,Crucible,50,0.93,Dragon,Rho,III - Difficulty,generic,false
51,N21,6.77,34.27,Thread,51,0.3,Lion,Rho,IV - Youthful Folly,generic,false
52,N22,24.02,35.0,Bloom,52,0.37,Raven,Sigma,V - Waiting,generic,false
53,N23,20.89,25.57,Fracture,53,0.44,Butterfly,Sigma,VI - Conflict,generic,false
54,N24,20.43,14.76,Haven,54,0.51,Ouroboros,Sigma,VII - Army,generic,true
55,N25,35.0,24.02,Nimbus,55,0.58,Phoenix,Tau,VIII - Holding Together,generic,false
56,N26,37.0,14.29,Conduit,56,0.65,Dragon,Tau,IX - Small Taming,generic,false
57,N27,42.01,4.7,Vertex,57,0.72,Lion,Tau,X - Treading,generic,false
58,N28,50.0,20.0,Hollow,58,0.79,Raven,Upsilon,XI - Peace,generic,false
59,N29,56.6,12.58,Radiance,59,0.86,Butterfly,Upsilon,XII - Standstill,generic,false
60,N30,65.73,6.77,Crest,60,0.93,Ouroboros,Upsilon,XIII - Fellowship,generic,false
61,N31,65.0,24.02,Dusk,61,0.3,Phoenix,Phi,XIV - Great Possession,generic,false
62,N32,74.43,20.89,Dawn,62,0.37,Dragon,Phi,XV - Modesty,generic,true
63,N33,85.24,20.43,Aether,63,0.44,Lion,Phi,XVI - Enthusiasm,generic,false
64,N34,75.98,35.0,Terminus,64,0.51,Raven,Chi,I - Creative,generic,false
65,N35,85.71,37.0,Origin,65,0.58,Butterfly,Chi,II - Receptive,generic,false
66,N36,95.3,42.01,Void,66,0.65,Ouroboros,Chi,III - Difficulty,generic,false
